pid,uid,parent_text,misinfo
_1233033351893782529,_2352629311,My legislation will help secure our medical supply chains amid this #coronavirus outbreak. Too many of our vital antibiotics &amp; other drugs are made in #China &amp; facing shortfalls,0
_1237873411549876224,_2671279038,"Getting you up to speed; antibiotics are not a treatment for viral infs.?Antibiotics are for bacterial infections. Go ahead, ask your doc for antibiotics🤣 Lastly, COVID-19 is not the “fn flu”. Mortality for COVID-19 is greater than flu by magnitudes of 10 and 14-15% for seniors.",0
_1242811251224457216,_839948922411954176,You can get antibiotics for the flu. There's nothing to cure the coronavirus. So yes the flu is bad but this virus is worse.,1
_1238970527290740739,_729846700249120768,They're not administering any kind of antibiotic to coronavirus victims. So how would you explain the way that disease was spread from country to Country so fast?,0
_1227454619393167361,_1205975213785042944,A mother came in today getting antibiotics for her daughter’s chest infection and asked me what the probability was of it being #Coronavirus,0
_1239898266319441923,_2173756630,Thanks Tim. I've been on antibiotics for infection - doing little! Someone I follow - A GP I believe - recently tweeted his experience of Corona and it's a pretty identical journey to mine. Would just like testing to know not 12 weeks isolation!,0
_1232074869220745216,_1179127622485368833,The only problem that I saw is that the antibiotic statistic is irrelevant since the coronavirus is a virus. Antibiotics won't help fight a virus.,0
_1232743598010949632,_27188418,"#coronavirusus #CoronaVirusUpdates I’m stocking up on food, disposable gloves, N95 masks, and Purell. And I haven’t been on antibiotics in 35 years so they will be very effective.",3
_1244798373032386560,_28023025,"would be the obvious option but we are totally overwhelmed w/ #COVID19 cases right now. #Phagehunting takes time &amp; cases can only be considered if they are fully #antibioticresistant. That said, email us at IPATH.edu &amp; we will see if we can get traction.",0
_1244765342951288832,_564630097,Is there any truth too this news about having two antibiotics that might kill Covid19?,0
_1241410738993934336,_986557644046413826,"been around for 50 years. Azythromicin is an antibiotic, not an antiviral, it's unlikely to have sweeping treatment for COVID-19. We also know that aspirin works for high blood pressure, but we wouldn't suggest it for a new, aggressive cancer, would we?",0
_1241622767872638977,_823560706888990721,That would be reactive arthritis something people with hla-b27 can have. Treating with antibiotics is helpful. In relation to covid19 doctors generally don’t want to accept that antibiotics can help. It seems counterintuitive.,1
_1235748238269001730,_1146066715,"Just imagine for a moment it's called coronaflu. A type of flu that doesn't respond to antibiotics + has a higher death rate than normal seasonal flu. It will put the elderly and vulnerable at significant risk of death if they catch it. Same thing. Please, stop comparing.",0
_1244206070295388161,_401953820,"My step-sister has been sent home from hospital with antibiotics and steroids after being told by the hospital that they are ""certain"" she has COVID19, but she hasn't been tested",0
_1236933543931940865,_955570228217262080,Zinc can interfere w the efficacy of antibiotics so consult w your doctor before taking zinc against COVID-19.,1
_1237089734155010049,_2541653600,"Viruses such as Corona or Flu, live for a few days but they lower Body Resistance (Immunity). Then Bacteria such as Pneumococci and Streptococci take over. They keep multiplying. If not treated by appropriate Antibiotics early; things can go wrong. A stitch in time, saves nine.",0
_1242094770119270401,_824109296656887808,"You still think there's going to be a wall, don't you? You're still cheering on the people who actually own stocks even though you don't own any. You believe an antibiotic is going to cure you of coronavirus. Sad.",0
_1243979511596802049,_16534248,"Not all patients with covid19 die. They need access to antibiotics, ventilators,.. stuff you get in hospitals. If these patients stayed home because they can't afford the medical bills they die. So yes, universal healthcare is a solution to the crisis.",1
_1237658602157928448,_769170565,Antibiotics are not helpful for the Corona virus. Antibiotics do not kill viruses.,0
_1232827422552117249,_22699560,#Coronavirus Does anyone know - is this treated with antibiotics?,0
_1236763638699966469,_2235375674,"This isn’t the flu, it’s highly infectious at an RO 4 to 11, no antibiotics or cure for it! To treat it like it’s just a regular coronavirus is stupid!",0
_1240826177293598720,_31099241,"Hi, you are missing the point. Covid-19 and the flu are both viruses, so if she was tested or just observed to have the flu, giving her antibiotics would not work - any doctor would know that.",0
_1238314737265451009,_1519564064,Corona Virus trying to enter my body: Antibiotics from Mexico :,1
_1239466810665140226,_3001849383,"I've been down with a fever and a cough for the last 3 days now. luckily, i responded well to antibiotics, but my family doctor refused to recommend a COVID-19 test to be done because I didn't have a travel history. ‼️India has low cases, because people ARE NOT GETTING TESTED‼️",0
_1233835891954610177,_15361570,Absolutely true. Humane husbandry and reduced prophylactic use of antibiotics in farmed animals (not related to Coronavirus but related to antibiotic resistant bacteria) is a public health imperative.,0
_1233140355840847883,_760901429796143104,i swear antibiotics aren’t effective against viruses anyway 🤔 it’s so upsetting seeing so much of the vegan community using the COVID-19 outbreak to “push” our agenda ; i know that it’s important obvs but people are allowed to worry about possible pandemics without being vegan,0
_1239760979300319232,_19161570,"5/ So, what am I doing for my mom? Treating her symptoms, hoping I can convince the PCP to give us an antibiotic tomorrow, and all the common sense stuff. Does she have #Coronavirus? We will never know. But here is what we do know...",0
_1242866184967598091,_380102468,Can we just kill off all the people complaining that there is no antibiotic to cure the Coronavirus orrrrr do they know something I don’t bc last time I checked you can’t use an antibiotic for a virus,0
_1235140019028783104,_35200672,He got antibiotics +other medication and luckily is recovering well. Covid19 or not? we will never know,0
_1244506610124255232,_132794140,"Year by year 700k persons over world, die by drug-resistant infections. Today, we have 720k worldwide cases of coronavirus. Do you NOW realize who big is this number? If we don't control antibiotics, by 2050 we would have 10 M deaths per year Stop misusing antibiotics!",0
_1239421284586487809,_823634567022133248,Apparently there are scam calls saying you tested positive for covid-19 and they need your credit card number to ship yoy antibiotics. The first tell is antibiotics are for bacterial infections not viral,0
_1231325343308345344,_1075042768437821445,"“For years now, scientists have warned that filthy farms crammed full of sick animals are breeding grounds for new, antibiotic-resistant “superbugs.” #coronavirus #SARSCoV2 #SARSvirus Go #vegan !!",4
_1240320848852123648,_3587870475,I called my doctor-Was told they called me in an antibiotic-Then called geisingers corona virus hot line-It asked if I or anyone around me had a fever-cough-shortness of breath-I said yes-it replied avoid contact with people till 24 hours after symptoms end-goodbye🤷‍️STUPIDITY,0
_1232918929061924864,_1056759055795081218,"Antibiotics do not treat viruses. Covid-19 is a virus. It's possible to get a bacterial infection at the same time, but preemptively taking antibiotics will not prevent Covid-19. Thank you for coming to my Ted Tweet.",0
_1235308858085699584,_1025820091013709825,"That the virus would mutate was a given, but this quickly! What about overuse of antibiotics for treatment of coronavirus, any expectation (discounting) for new antibiotic resistant superbugs?",0
_1220425044695961607,_903645666190217217,#CoronavirusOutbreak #coronovirus The possibile rid can get especially who are not yet suffered but living in the suspicious area strucked by virus have to take 2 antibiotics before starting the day. And also immerse the 6 common fig at night and eat that in the early morning.,0
_1234864834778468354,_2249531,"INBOX: ⁦⁩ has delegated authority to ⁦⁩ to reestablish the President’s Advisory Council on Combatting Antibiotic-Resistant Bacteria. If this is a response to Coronavirus, it’s nonsensical because antibiotics do nothing for viral infections.",0
_1241726403625746434,_771177342295093248,"Antibiotics are already proven effective against pneumonia, which is secondary in covid-19. Early trial shows an impressive result in patients receiving the combo. .",2
_1237792763636150272,_1498677265,I don’t want to point fingers so I wont But the WHOLE world needs to do better about over antibiotic use I know there is stupid shit going around about COVID19 but I suspect this is entirely because of overuse of antibiotics It gives viruses more chances to mutate and evolve.,4
_1238847845110816768,_4656137352,"Defnetly dear #coronavirus has no special Treatment It is cure by Antibiotics, Paracetamol is Antiboitic tablet. #Learn to Respect",1
_1235421936643190785,_1073919299285385217,"Forget Covid19! Enjoy that raging herpes! Go to Crotchella.. uh I mean Coachella, and be worry free! Atleast until you need that antibiotic.",0
_1225448090011873281,_119468781,"With all the concern about #coronavirus and #antibioticresistance, here's a fascinating Microshare case study on the power of IoT to lower a major UK hospital's infection rates. Charles Paumelle explains. #lorawan #smartbuildings #antibioticresistance #iot",0
_1244684208838258689,_1146890029031141377,A colleague pointed out today that unnecessary antibiotics in #COVID19 is not only potentially harmful to patients but also to staff by increasing the number of contacts they have with each patient. We mustn't lose sight of #stewardship and be clear WHY we are rx ABX in #COVID19,0
_1239298223287779332,_603780694,"After a total of 5 hours on hold, 111 told me to self isolate. I have had to fight for antibiotics. If all symptomatic people were tested for coronavirus, I could have received the medication I needed a lot faster.",0
